"File"               "Field"                                    "Ecotaxa"
"ListMode"           "﻿Particle ID"                              "object_id"
"ListMode"           "Sample Length"                            "sample_length"
"ListMode"           "Arrival Time"                             "sample_arrival_time"
"ListMode"           "FWS Length"                               "object_fws_length"
"ListMode"           "FWS Total"                                "object_fws_total"
"ListMode"           "FWS Maximum"                              "object_fws_maximum"
"ListMode"           "FWS Average"                              "object_fws_average"
"ListMode"           "FWS Inertia"                              "object_fws_inertia"
"ListMode"           "FWS Center of gravity"                    "object_fws_center_of_gravity"
"ListMode"           "FWS Fill factor"                          "object_fws_fill_factor"
"ListMode"           "FWS Asymmetry"                            "object_fws_asymmetry"
"ListMode"           "FWS Number of cells"                      "object_fws_number_of_cells"
"ListMode"           "FWS First"                                "object_fws_first"
"ListMode"           "FWS Last"                                 "object_fws_last"
"ListMode"           "FWS Minimum"                              "object_fws_minimum"
"ListMode"           "FWS SWS covariance"                       "object_fws_sws_covariance"
"ListMode"           "FWS Length(50%)"                          "object_fws_length_50"
"ListMode"           "Sidewards Scatter Length"                 "object_sidewards_scatter_length"
"ListMode"           "Sidewards Scatter Total"                  "object_sidewards_scatter_total"
"ListMode"           "Sidewards Scatter Maximum"                "object_sideards_scatter_maximum"
"ListMode"           "Sidewards Scatter Average"                "object_sidewards_scatter_average"
"ListMode"           "Sidewards Scatter Inertia"                "object_sidewards_scatter_inertia"
"ListMode"           "Sidewards Scatter Center of gravity"      "object_sidewards_scatter_center_of_gravity"
"ListMode"           "Sidewards Scatter Fill factor"            "object_sidewards_scatter_fill_factor"
"ListMode"           "Sidewards Scatter Asymmetry"              "object_sidewards_scatter_asymmetry"
"ListMode"           "Sidewards Scatter Number of cells"        "object_sidewards_scatter_number_of_cells"
"ListMode"           "Sidewards Scatter First"                  "object_sidewards_scatter_first"
"ListMode"           "Sidewards Scatter Last"                   "object_sidewards_scatter_last"
"ListMode"           "Sidewards Scatter Minimum"                "object_sidewards_scatter_minimum"
"ListMode"           "Sidewards Scatter SWS covariance"         "object_sidewards_scatter_sws_covariance"
"ListMode"           "Sidewards Scatter Length(50%)"            "object_sidewards_scatter_length_50"
"ListMode"           "Fl Yellow Length"                         "object_fl_yellow_length"
"ListMode"           "Fl Yellow Total"                          "object_fl_yellow_total"
"ListMode"           "Fl Yellow Maximum"                        "object_fl_yellow_maximum"
"ListMode"           "Fl Yellow Average"                        "object_fl_yellow_average"
"ListMode"           "Fl Yellow Inertia"                        "object_fl_yellow_inertia"
